employeeId,date,tapIn,tapOut
E001,2024-09-02,09:40,17:56
E001,2024-09-03,08:51,17:55
E001,2024-09-04,08:51,18:02
E001,2024-09-05,09:19,17:57
E001,2024-09-06,09:12,17:53
E001,2024-09-09,09:37,17:52
E001,2024-09-10,09:04,18:08
E001,2024-09-11,09:22,17:50
E001,2024-09-12,09:24,18:02
E001,2024-09-13,09:01,17:58
E001,2024-09-16,09:20,17:55
E001,2024-09-17,09:32,17:57
E001,2024-09-18,09:22,18:01
E001,2024-09-20,09:39,17:59
E002,2024-09-02,08:56,18:00
E002,2024-09-04,08:55,17:59
E002,2024-09-05,08:53,17:54
E002,2024-09-06,08:57,18:03
E002,2024-09-09,09:11,17:55
E002,2024-09-10,09:31,17:57
E002,2024-09-11,09:10,17:58
E002,2024-09-12,09:26,17:53
E002,2024-09-16,09:36,18:03
E002,2024-09-17,09:34,18:05
E002,2024-09-18,08:55,18:01
E002,2024-09-20,09:19,17:58
E003,2024-09-03,09:16,17:54
E003,2024-09-04,08:58,17:59
E003,2024-09-05,09:22,17:53
E003,2024-09-09,09:30,17:58
E003,2024-09-10,09:11,17:53
E003,2024-09-11,09:15,17:59
E003,2024-09-12,09:02,17:54
E003,2024-09-13,09:18,18:05
E003,2024-09-18,09:30,17:50
E003,2024-09-19,09:16,17:59
E003,2024-09-20,09:02,18:07
E004,2024-09-02,09:00,17:56
E004,2024-09-04,09:04,17:54
E004,2024-09-05,09:39,17:58
E004,2024-09-06,09:10,17:56
E004,2024-09-09,08:52,17:52
E004,2024-09-10,09:36,18:02
E004,2024-09-11,08:59,17:54
E004,2024-09-12,09:09,18:03
E004,2024-09-13,09:08,18:08
E004,2024-09-16,09:11,17:55
E004,2024-09-17,09:18,18:09
E004,2024-09-18,09:02,18:10
E004,2024-09-19,09:08,18:07
E004,2024-09-20,09:15,17:50
E005,2024-09-02,09:11,18:07
E005,2024-09-03,09:37,18:09
E005,2024-09-05,09:01,18:10
E005,2024-09-06,08:56,18:04
E005,2024-09-09,08:59,18:05
E005,2024-09-10,09:08,18:06
E005,2024-09-11,09:39,17:54
E005,2024-09-12,09:36,18:03
E005,2024-09-13,08:55,17:51
E005,2024-09-16,09:08,17:58
E005,2024-09-18,09:10,18:01
E005,2024-09-19,08:52,17:50
E005,2024-09-20,09:36,18:10
